sk_empresas,cnpj_empresa,flag_matriz,nm_razao_social,cd_natureza_juridica,de_natureza_juridica,de_situacao,de_classif_natureza_juridica,de_saude_tributaria,de_nivel_atividade,registro_antt,flag_optante_simples,flag_optante_simei
L&]-$8\+M._BSB#(FU>$V/,8457794000390,NAO,ARY ANTONIO MADUREIRA,4120,PRODUTOR RURAL PESSOA FISICA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,NAO,NAO
"PHFN6HJ(`><BQ`E<O:""8:$",14222846000180,SIM,ACADEMIA C 4 FITNESS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,NAO
"D#0.>*XQ#@2,B9TMTENR,'",7669934000160,SIM,M A NOGUEIRA REPRESENTACOES COMERCIAIS ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,VERDE,INATIVA,SIM,NAO,NAO
HFC@>H>_`1C;35#A61&>/*,6137179000100,SIM,ESPACO CONHECIMENTO CONSULTORIA EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
G69U1@F;H1J%T[[9!XD1_(,1387360000150,SIM,CONDOMINIO EDIFICIO ANDRAUS GOLDEN,3085,CONDOMINIO EDILICIO,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
LJ/HE0\-2#;B8*M_-%WC--,9545298000190,SIM,PARTIDO DA REPUBLICA PR DE RIACHO DE SANTANA,3271,ORGAO DE DIRECAO LOCAL DE PARTIDO POLITICO,ATIVA,PUBLICO,AMARELO,MEDIA,SIM,NAO,NAO
"FBF?(U6@W-*1!.F.SBI,F#",40484867000850,NAO,JCE CONSULTORIA E PARTICIPACOES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERMELHO,MEDIA,SIM,NAO,NAO
HCDT3Q^]U3VEU`5\X`1Y1/,48346043000150,SIM,SEBASTIAO MIGUEL DE CAMPOS ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"GVH7D""!OTZLUZ6JLF>A'=0",13567044000140,SIM,BUT COMERCIO DE ALIMENTOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"NE<;LX&W2""W17X68U9+2[&",13598884000170,SIM,EDEGAR PEREIRA MEI,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,VERDE,INATIVA,SIM,NAO,NAO
"CCR:OM1CA*+P8_OJ`I_,1.",4056122000150,SIM,ALZENIR SANTANA COMERCIO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
"L!^CZ2&)CJ&SQRCAH]!@I,",4841694000140,SIM,CARRO FACIL VEICULOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"A$EN)7)Y=.&BD7'=*9?1F(",66508078000120,SIM,CONDOMINIO EDIFICIO ELIANA,3085,CONDOMINIO EDILICIO,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"FMWC[=@"";E)YP`(HY]64H0",11726294000150,SIM,JAILSON BEZERRA PEREIRA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
F8*R:=E;V$^`ZA-!MLRM]&,11959342000150,SIM,MARIZA CRISTIANE ALTHAUS MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,BAIXA,SIM,SIM,SIM
"KTO9KA?R&V\.+(,X!0(/L""",34481390000180,SIM,OLIVEIRA & GARCIA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
O<1F\*QC-@<YW:7KJMQWL#,12555119000100,SIM,MARGARETE PEREIRA ARCENIO MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,SIM
"A.!'=N\D@`W&BIW^5'VH$*",7907566000140,SIM,QUANTTO AGENCIA DE MARKETING LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,SIM,NAO
"EM""OHH$^=G2F\NV6XDJP*+",1682355000170,SIM,ELITON ALVES ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,LARANJA,BAIXA,SIM,NAO,NAO
NN=RLL`[P\(8.NP.1&BZO0,8455770000130,SIM,DILSON FERREIRA DOS SANTOS BRITAMENTO DE PEDRAS ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
"H@B7JT3&\)E=*""'ZMAC4Q.",74034307000140,SIM,ELETRO FRIO ESTRELA DA LIBERDADE LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
BVUSU=OIG!%SL7CW%P1$;(,14672094000150,SIM,SEBASTIANA APARECIDA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"AKBYC@EV4I,.X'Q2ED::).",2521644000150,SIM,ADRIANA RESENDE LOPES ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERMELHO,MEDIA,SIM,SIM,NAO
"F*<7*!9Z8A3_,62+@YY4C.",14133477000150,SIM,ORLANDO PINHO GUIMARAES ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,ALTA,SIM,SIM,NAO
"O\Y=#-I!I-NC2$M4#,K+F*",6021074000190,SIM,MARCIA R LIMA AUTOMOVEIS ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
"H,M'9ST<00;LVN/8[I@T(0",7784989000110,SIM,FARLEY SILVA LEITE ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
"D?_T/@,[M5J4`9K68UL>D)",14550570000160,SIM,WELLINGTON ALVES DE LIMA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"EQQ<7\[67""3&YA@!2*[-[#",14570622000160,SIM,S A R BANSI ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,NAO
"BCT,!Y^K""*G)<B*T%%=91+",1052752000240,NAO,ASAS DE SOCORRO,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
BR<H!C$S-[Q28)L*08(Y_+,9353200000100,SIM,B P GONSIORKIEWICZ ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
OXF\9X]8)J%5QE1/PCU<9%,9102759000150,SIM,I DE L MOREIRA DE MORAES CALCADOS ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,BAIXA,SIM,NAO,NAO
"AIB]3Y&,4+&X_R@746;H3)",9310725000150,SIM,CLINICA ODONTOLOGICA ODONTOSAUDE LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"A'()%:J]!:,4QMYARA(>U!",8374337000170,SIM,SALUSTIANO JOAQUIM TONCHIS,4120,PRODUTOR RURAL PESSOA FISICA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"H<4`-1""-.GV%\]&:K80H**",8225677000130,SIM,RAFAELA DE O G ELIAS CALHAS EIRELI ME,2305,EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"MY=LX[BN4&QI:/#!G:)4`'",13865327000410,NAO,HOKKAI COMERCIO E SERVICOS DE ALIMENTACAO EIRELI EPP,2305,EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,NAO
BBMFM0<8GGW70Y-G.T7H:!,15296818000170,SIM,PALOMA VEBER SOETHE MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,SIM
MC!=$;]1K3_7N6DP_<2_A*,8402134000140,SIM,MARIA EMILIA APARECIDA VIANA,4120,PRODUTOR RURAL PESSOA FISICA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"N)XEZ4V^VB5KH5^C""?H>##",59121624000100,SIM,COMERCIAL T PAULISTA EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"L_E,:=L[=,F(8B5*HWP\3)",92112333000120,SIM,C A S GONCALVES ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
"FZ5\?\K*2$""6!B3P)+?N]-",8661339000140,SIM,FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO TERTIUS DINAMICO,2224,CLUBE FUNDO DE INVESTIMENTO,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
F^%J/R*(8!KJ%2[3PZ!1[),14577061000120,SIM,MARCIO LUIZ BATISTA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"K;Z<KBD\X^['GH@1;K2:R!",14797432000180,SIM,OMEGA GESTORA DE RECURSOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"OW4TJX2]N-?@8+5[,CF8V'",16700845000120,SIM,ELEICAO 2012 WILSON MARINHO DE CARVALHO VEREADOR,4090,CANDIDATO A CARGO POLITICO ELETIVO,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
JX_#5!^/K8.>R).NH@TAV+,14581505000100,SIM,ELMA VIVIANE PAIVA AMORIM MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,BAIXA,SIM,SIM,SIM
"C%QD#J*+L6$SV]1_^OO@$""",15309170000120,SIM,MARESIA PESCADOS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AMARELO,BAIXA,SIM,NAO,NAO
"BM^$""L[.$'-K:)L)XM)C2(",14384803000100,SIM,MARIA NATIVIDADE DE MELO VESELICH MEI,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,VERDE,INATIVA,SIM,NAO,NAO
"C$8^Z)(2S00(2]!%#G*\8""",7104105000210,NAO,CENTRO DE FORMACAO DE CONDUTORES SOLUCAO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
L.:5Z5-HRWRW@3Q!>T&I>%,15797920000150,SIM,FABIANA SOUSA PONTES DO AMARAL MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,SIM
"J1X>9'PAEV&DI91<&*N"",)",89809099000180,SIM,OCLIDES ANTONIO MICHELON E FILHAS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"F""^T)-HPV5<A=CT1L_F%$.",88740717000110,SIM,MARIA T P LEIRIA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"IAU.='(.=[$)I\('B+F]O-",88485743000140,SIM,KOLLER CIA LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
A!JFC*VGY:F9YL5YZ2795*,29190576000140,SIM,ARMARINHO FIGUEIREDO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"BJC*)U]S,DFPKU-4^^MQE'",51444594000160,SIM,TEMPLO DE UMBANDA SAO SEBASTIAO,3999,ASSOCIACAO PRIVADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"DUF^#=Z9Z'M<S3ZJP-$X2(",60124799000150,SIM,DORALICE DA GRACA CAMPOS,4014,EMPRESA INDIVIDUAL IMOBILIARIA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
D35X:$[HZ!D[[_?CIOB-+),50962802000150,SIM,TECELAGEM DORA LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"LW.$*UA`K<+7DGR_'52HW/",56609704000110,SIM,IETE TERESINHA BELING INGLESE,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
D58N%(VC/6C`O0;4#N#3T0,25278086000140,SIM,PADARIA E CONFEITARIA ERVALIA LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"A[93U7DZ9AMM2TOOP]=""#)",31669633000110,SIM,DISTRIBUIDORA DE BEBIDAS RANCHO NOVO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"P7&<V-]NKE+2\)72N,#=(%",52817210000170,SIM,JOSE JOAO DA SILVA ADAMANTINA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"K-WHA+6$D%18&4&\4^U@`'",29319787000130,SIM,C CARNEVALE DISTRIBUIDORA DE BEBIDAS,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
IVZ*)EN]G_JA8`Q$306TT#,19304245000130,SIM,GORGONILO GARCIA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"OPIN';,H')<UWC4TI1,4A+",50109289000150,SIM,RESTAURANTE E LANCHONETE CHOPAO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"FK9<&`QT'>V9QLN`E[%!Z$",54677331000190,SIM,MARIA TERESA WOLFF MORAES,4014,EMPRESA INDIVIDUAL IMOBILIARIA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"IM9A:E>LE1^K^U!.T.A,_+",52070638000100,SIM,ELPIDIO LANZILLO NETO,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
MJ`MURA.MJ8/)%S^(;O;)#,55228365000160,SIM,ALCENDINO NUNES DA SILVA ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
IJ->4(21SZ:W:GF5*O62]/,64797277000170,SIM,CAZALLAS SANTOS COMERCIO DE BIJUTERIAS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
I2NFS>O1EFOKKMA]:;1)((,68747245000200,NAO,ASCOT INDUSTRIA E COMERCIO DE MOVEIS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
CB.\LU8BMXEORV0E@ATR.!,73497265000110,SIM,CAMPANA TRANSPORTES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"L8Q2XZ<U9L7W`=*^'=TA+)",67048348000120,SIM,M F CALIL COMERCIO E REPRESENTACOES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"B3##4:?7'ETQ`R+H+Y)480",76684166000640,NAO,EMPRESA OTICA GLOBAL LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"O45'K7PD]:H%%-34%CK'U&",64069826000190,SIM,MARIA PEREIRA DE LACERDA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"B=26C/UP6-""^$[K""&GK8F!",72259583000180,SIM,ELLO CONTABIL LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"K,U7CUS>#*3A#0)KD>*&1.",78677176000170,SIM,ASSOCIACAO DOS SERVIDORES MUNICIPAIS,3999,ASSOCIACAO PRIVADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
I9N0H7L=+V9II-HEV0V4\&,71540447000100,SIM,MATER YANG SERVICOS MEDICOS LTDA ME SC,2240,SOCIEDADE SIMPLES LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
B<Z1R?(%;\YXB*76%%6O_-,40402109000170,SIM,LA MUDANCE RESTAURANTE LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
C:P]@N[B<2(-;#4R^[M2?&,42967455000120,SIM,JOSE MARIA DOS SANTOS,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"H0\1>RN<$+XOK(#3?+1]S'",44907251000120,SIM,JORGE BRAGA DO NASCIMENTO MERCEARIA ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
I5G3?\/RL@)=E+RSGG7A\%,44245108000110,SIM,BAR E EMPORIO IRMAOS GONCALVES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"I?'%1G)?>)@H]:U3!Q#6A*",36902278000100,SIM,ILDA MARIA ROSA COMERCIO,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"O9'W\P:AV#""]?>B2H<`D]%",33279563000110,SIM,DIMACON DIST DE MATERIAIS ELETRICOS E CONSTRUCAO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"AO,P""G2?FA\E@?>""1T3!S!",37274180000100,SIM,ESCOLA INFANTIL O MAGICO PINTOR LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"G^Y1O121A43247,_6Z8ZA-",43221084001330,NAO,AKZO NOBEL COATINGS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"H)5EHL&Y&HAT7;J8T,AXZ%",90613217000160,SIM,SOLAR IMOVEIS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"D?]_I''17*0PXD\>F]$)A$",93655918000150,SIM,JOAO LUIS FRAGA ARMAZEM,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"IO[.&DL=,9-6`^OZJ2Y0%#",87876496000140,SIM,LUIZ JOAO EVALDT,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"F[%7DPW3O`3/""SUR@Z^V$/",89438311000140,SIM,PETEFFI & TRIERWEILER LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"JP^0M>#*""`UTX%'EH'SKD'",83704502000120,SIM,INDUSTRIAL DE RACOES RAMELLA LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"I.7@W/$U@$""<09T]VBG]]/",94180098000150,SIM,JOSE OLAVIO DE CAMPOS,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"K$G0K>O4)R9E7P8SY<S47""",93817237000140,SIM,RAUL CAMPOS DA FONTOURA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
LGHNNA0\0JC(=!5<E]O(Y*,96594700000120,SIM,SILVIO DE BORBA LUCAS,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"DU3,P$4K%]V#'LV.P""V%B)",81797078000180,SIM,MUSSULINE ZANETTE,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
LD0.4A_X?C?*IF46Q4\BU(,94632130000190,SIM,MADESOL COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"O;>P<)S6Z@F+RF'J6.+],""",91546036000120,SIM,PEDRO CARRER & CIA LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
HM<Q86(W0&%/?9.!IX6*`.,19645365000100,SIM,GENESIO DE PAULA MAFRA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"KQ.'-)3^-_EDP0QV""2CXD#",52289014000170,SIM,MARCO ANTONIO CRIVELLARI,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"JK+G##..RMRQXN!WR:!&.,",30691836000140,SIM,RAQUEL COMERCIO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"GTHY\!%41@P'2YH,.(_WL.",20555413000140,SIM,JOSE BARBOSA DA SILVA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"P,^*5F\$^BEO],H*:56/#/",20000204000130,SIM,ARISTIDES MENDONCA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"P)EI#*3L@\AOKJ['L/^W_/",31170392000160,SIM,CENTRAL ADMINISTRACAO E PARTICIPACOES LTDA,2240,SOCIEDADE SIMPLES LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
N%<=:%(?@$&=YE20W**E](,27668193000100,SIM,SENDON & CIA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
IC?3G\=KJ*GLR*O2&`Q$1#,27357292000170,SIM,ANGELO DEMUNER,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"H89D0M7H=J\.)7""-HPN))""",32224826000120,SIM,DERBY PARTICIPACOES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
FEF1+;<`CFR:DEQY]%G(X#,55614317000100,SIM,RODAN ASSESSORIA TECNICA LTDA SC,2240,SOCIEDADE SIMPLES LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"MZ6A78""N$D?*<O<-5>IRU.",61906053000160,SIM,HAICA MOTOS E ACESSORIOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"A7+<"":P'ECMH_R/ST""3`5(",50986116000110,SIM,COMERCIAL DE RELOGIOS GUE LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"KQ1?=D<O`5,(//#7\\M>$,",27306927000100,SIM,MARIA LAMEIRA SEGRINI,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
F&HZ^0`ZD2SRZ\V[P`:6/.,30441406000170,SIM,MARIA DA CONCEICAO DE SOUZA BAR,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"PB^$.WE:\'=ZN]!0V<`S2$",59506311000170,SIM,POOL PLASTIC COMERCIO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"NOH$AFEA?""+=0B1`Z5C)[)",61005500000100,SIM,TUTTI DOLCI PRODUTOS ALIMENTICIOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
L%F59/+TFPJ`%?V3+<;Y@),16294894000100,SIM,CASSILANDRO RIBEIRO FREIRE ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
A=U.4<U3.C4$(!)1WCFL%!,26528679000180,SIM,L A C COMERCIO DE PECAS USADAS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"D-K!O(+$-_""3+""1#G,CGT!",61672473000120,SIM,ANTONIO LAZARINI LARANJAL PAULISTA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
BCHD0^;];#>`2F/I7D1U].,78993045000100,SIM,ROSA & RACHELLE LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
I`M$]9=.[:D^?SUM[8S3U/,21106364000120,SIM,GERALDO DIAS DA COSTA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"J5!`6,*2BVC%S;,5R:<*<+",53768289000150,SIM,FRANCISCA DE LIMA ROCHA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
L6:$4MI8M9$0(8*VM#`:U/,71196976000120,SIM,FAST FORWARD ESCOLA DE IDIOMAS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"K;H1C')HZ<*X-P`ZLZ_XG0",77650638000100,SIM,COMERCIAL DE MOVEIS VALE DO IVAI LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
GI<XYXBXY^YDQA]R%1B*2-,79754792000140,SIM,ROMILDO TSUTOMU NAKAKOGUE,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"O^5S6P0KWBJ$2YGT#/_""3+",32431462000150,SIM,COLAPEL COLATINA PAPEIS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
OO0H:I`H\N(YIO>Y1[S.N%,73104580000130,SIM,MARIO PEREZ ITAPETININGA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
